district,Price,size, sold,target
罗湖,53582.55,65.17,1,90平方米以下
南山,74321.56,58.76,1,90平方米以下
全市,97917.22,301.69,2,144平方米以上
宝安,97917.22,301.69,2,144平方米以上
坪山,31939.79,93.16,1,90~144平方米
宝安,53116.21,515.87,5,90~144平方米
福田,87649.01,253.12,2,90~144平方米
光明,37973.62,98.1,1,90~144平方米
龙岗,36529.1,220.41,2,90~144平方米
全市,58236.57,2447.05,23,90~144平方米
南山,63061.58,313.81,3,90~144平方米
龙华,61285.75,952.58,9,90~144平方米
全市,35169.39,435.5,6,90平方米以下
龙岗,18884.31,37.99,1,90平方米以下
龙华,48257.61,89.18,1,90平方米以下
坪山,33390.33,308.33,4,90平方米以下
全市,50917.29,301.73,2,144平方米以上
南山,45484.64,151.04,1,144平方米以上
龙华,56362.56,150.69,1,144平方米以上
福田,117674.94,114.27,1,90~144平方米
宝安,54423.34,1537.25,14,90~144平方米
光明,40385.19,280.94,3,90~144平方米
龙岗,36148.37,551.2,5,90~144平方米
龙华,57682.45,1449.59,14,90~144平方米
罗湖,61179.85,454.12,4,90~144平方米
南山,82127.97,589.2,5,90~144平方米
坪山,34247.64,91.79,1,90~144平方米
全市,57476.59,5068.36,47,90~144平方米
全市,42301.51,2045.06,27,90平方米以下
宝安,46134.52,282.41,4,90平方米以下
福田,85696.79,75.45,1,90平方米以下
光明,38235.14,261.71,3,90平方米以下
龙岗,30570.82,575.13,9,90平方米以下
龙华,52470.56,615.51,7,90平方米以下
坪山,30358.04,234.85,3,90平方米以下
全市,83561.77,1483.07,7,144平方米以上
龙岗,52172.61,517.72,3,144平方米以上
福田,106522.83,523.48,2,144平方米以上
宝安,93137.3,441.87,2,144平方米以上
福田,106970.32,124.09,1,90~144平方米
宝安,61841.26,1101.26,11,90~144平方米
光明,43485.43,504.2,5,90~144平方米
龙岗,39868.58,1484.11,13,90~144平方米
龙华,63996.7,715.74,7,90~144平方米
罗湖,56744.23,120.22,1,90~144平方米
南山,56313.5,193.14,2,90~144平方米
坪山,35311.88,460.14,4,90~144平方米
全市,51505.15,4702.9,44,90~144平方米
全市,46373.44,5125.03,63,90平方米以下
宝安,48843.01,2461.85,30,90平方米以下
光明,40619.85,264.49,3,90平方米以下
龙岗,28672.75,927.34,12,90平方米以下
龙华,56941.12,921.2,11,90平方米以下
罗湖,57003.54,156.64,2,90平方米以下
南山,71337.07,139,2,90平方米以下
坪山,34533.48,254.51,3,90平方米以下
